"","DHSCLUST","m0_1y_hiv","m0_1y_nonhiv","gt1_hiv","gt1_nonhiv","total_pop","m0_1y_hiv_rate","gt1_hiv_rate","allm0_1y_rate","all_hiv_rate","pop_rate"
"113",113,0,6.906402,5.734106,23.790285,36.430793,0,0.157397232610336,0.189575944723465,0.157397232610336,0.00231443798976571
"114",114,0,1.11859,6.672167,18.701046,26.491803,0,0.251857791634643,0.0422240041570594,0.251857791634643,0.00168301676223707
"115",115,0,2.98654,5.911753,41.382271,50.280564,0,0.117575312003262,0.0593975039739013,0.117575312003262,0.00319431002966216
"116",116,0,0,5.765044,38.006524,43.771568,0,0.131707504743719,0,0.131707504743719,0.00278079535218497
"117",117,0,1.951086,3.241233,18.062058,23.254377,0,0.139381631251613,0.0839018822134001,0.139381631251613,0.00147734400283666
"118",118,1.036262,1.036262,4.974865,29.225818,36.273207,0.0285682487352166,0.137149852782523,0.0571364974704332,0.16571810151774,0.00230442659569434
"119",119,0,0,3.530181,49.192845,52.723026,0,0.0669571014379941,0,0.0669571014379941,0.00334947895067244
"120",120,0,7.209252,17.873037,38.08245,63.164739,0,0.28295908893093,0.114134121570581,0.28295908893093,0.00401283802840184
"121",121,1.504823,3.009646,3.777436,24.752687,33.044592,0.0455391611432213,0.11431328914577,0.136617483429664,0.159852450288991,0.00209931359663535
"122",122,0.977342,1.954684,1.914545,30.552442,35.399013,0.0276093008581906,0.0540847000451679,0.0828279025745718,0.0816940009033585,0.00224888929778196
"123",123,1.492456,4.451139,2.967426,18.577013,27.488034,0.0542947524002626,0.107953373456974,0.216224812585724,0.162248125857237,0.00174630703629129
"124",124,1.222096,2.618048,7.680288,46.869184,58.389616,0.0209300228999622,0.131535168856051,0.0657675844280257,0.152465191756014,0.00370947581289903
"125",125,0,2.311529,4.623058,45.252595,52.187182,0,0.088586082306571,0.0442930411532855,0.088586082306571,0.00331543693269639
"126",126,0,0.397872,0.297777,3.674673,4.370322,0,0.0681361693715017,0.0910395160814238,0.0681361693715017,0.00027764532230492
"127",127,3.772456,3.772456,5.658684,65.05836,78.261956,0.0482029352805851,0.0723044029208777,0.0964058705611702,0.120507338201463,0.00497195996034926
"128",128,0,0,5.0121,33.242635,38.254735,0,0.13101907515501,0,0.13101907515501,0.00243031250987097
"129",129,0,1.121112,2.167774,44.327692,47.616578,0,0.0455256150494477,0.0235445730686485,0.0455256150494477,0.00302506775149918
"130",130,1.266946,1.910705,5.783545,16.614302,25.575498,0.0495374909219754,0.226136163604713,0.124245909111916,0.275673654526688,0.00162480416438854
"131",131,1.2353,0,1.885272,23.79392,26.914492,0.0458972066052742,0.0700467242703299,0.0458972066052742,0.115943930875604,0.00170987007502266
"132",132,0,0,6.50484,47.747618,54.252458,0,0.119899452297627,0,0.119899452297627,0.0034466433336592
